# # Temperature	Energy	Specific Heat	Magnetization	Susceptibility
0.100000	-0.974603	0.000134	0.969350	0.000206
0.179167	-0.953988	0.000128	0.944016	0.000398
0.258333	-0.932951	0.000136	0.919599	0.000536
0.337500	-0.911167	0.000143	0.893495	0.000664
0.416667	-0.888866	0.000141	0.867361	0.000846
0.495833	-0.865708	0.000151	0.838495	0.001071
0.575000	-0.841285	0.000159	0.809938	0.001192
0.654167	-0.816089	0.000172	0.780556	0.001328
0.733333	-0.788387	0.000185	0.746323	0.001611
0.812500	-0.757600	0.000209	0.706743	0.001999
0.891667	-0.722104	0.000251	0.656305	0.002854
0.970833	-0.678395	0.000308	0.572914	0.006903
1.050000	-0.622555	0.000395	0.410420	0.015665
1.129167	-0.565859	0.000336	0.252358	0.011161
1.208333	-0.516357	0.000280	0.170925	0.005878
1.287500	-0.475125	0.000242	0.132941	0.003526
1.366667	-0.438498	0.000207	0.108648	0.002300
1.445833	-0.407495	0.000181	0.093663	0.001633
1.525000	-0.380871	0.000155	0.083686	0.001233
1.604167	-0.357160	0.000137	0.076340	0.000976
1.683333	-0.336748	0.000122	0.069575	0.000769
1.762500	-0.317994	0.000107	0.065264	0.000656
1.841667	-0.301934	0.000096	0.062078	0.000563
1.920833	-0.287271	0.000087	0.059064	0.000486
2.000000	-0.273149	0.000078	0.056435	0.000432
