# # Temperature	Energy	Specific Heat	Magnetization	Susceptibility (Optimized)
0.100000	-0.974736	0.000508	0.975119	0.000223
0.422222	-0.887759	0.000567	0.889153	0.000925
0.744444	-0.785888	0.000718	0.787130	0.001843
1.066667	-0.623964	0.001407	0.556971	0.013567
1.388889	-0.431575	0.000808	0.211560	0.007743
1.711111	-0.330511	0.000463	0.138038	0.002956
2.033333	-0.268054	0.000299	0.111209	0.001610
2.355556	-0.226497	0.000212	0.098049	0.001081
2.677778	-0.196479	0.000156	0.088757	0.000789
3.000000	-0.173655	0.000122	0.083424	0.000633
