# # Temperature	Energy	Specific Heat	Magnetization	Susceptibility
0.100000	-0.974548	0.000500	0.974366	0.000219
0.226316	-0.941182	0.000597	0.941764	0.000544
0.352632	-0.907529	0.000558	0.907926	0.000765
0.478947	-0.870863	0.000540	0.873003	0.001039
0.605263	-0.832309	0.000616	0.833261	0.001480
0.731579	-0.789571	0.000730	0.790132	0.002035
0.857895	-0.739258	0.000899	0.733860	0.003016
0.984211	-0.675931	0.001180	0.648092	0.006913
1.110526	-0.588212	0.001592	0.479365	0.017579
1.236842	-0.504810	0.001162	0.313530	0.014678
1.363158	-0.440093	0.000823	0.221129	0.008311
1.489474	-0.391650	0.000666	0.174194	0.005439
1.615789	-0.354608	0.000523	0.150324	0.003704
1.742105	-0.323002	0.000429	0.131968	0.002637
1.868421	-0.297180	0.000375	0.120882	0.002166
1.994737	-0.275027	0.000321	0.112601	0.001703
2.121053	-0.256397	0.000276	0.106125	0.001402
2.247368	-0.239467	0.000237	0.101234	0.001264
2.373684	-0.224996	0.000212	0.098759	0.001042
2.500000	-0.213273	0.000183	0.093418	0.000931
