# # Temperature	Energy	Specific Heat	Magnetization	Susceptibility
0.681964	-0.807719	0.000652	0.810780	0.001625
0.686774	-0.805957	0.000615	0.806357	0.001489
0.691583	-0.804377	0.000587	0.806227	0.001862
0.696393	-0.801130	0.000712	0.802321	0.001705
0.701202	-0.800873	0.000743	0.798701	0.002086
0.706012	-0.795368	0.000625	0.794192	0.001915
0.710822	-0.795539	0.000744	0.794583	0.002085
0.715631	-0.795942	0.000625	0.796283	0.001863
0.720441	-0.795839	0.000667	0.797305	0.001786
0.725251	-0.794630	0.000772	0.793762	0.001898
0.730060	-0.789596	0.000678	0.792364	0.001614
0.734870	-0.788685	0.000658	0.789311	0.001720
0.739679	-0.786262	0.000741	0.784734	0.001970
0.744489	-0.782631	0.000819	0.782826	0.001997
0.749299	-0.785851	0.000664	0.786535	0.001705
0.754108	-0.780117	0.000722	0.778918	0.002087
0.758918	-0.778494	0.000732	0.779406	0.001997
0.763727	-0.778621	0.000708	0.780961	0.002115
0.768537	-0.774978	0.000750	0.776590	0.001798
0.773347	-0.774384	0.000725	0.769122	0.002439
0.778156	-0.772404	0.000765	0.769235	0.002190
0.782966	-0.770439	0.000697	0.768577	0.002270
0.787776	-0.766217	0.000844	0.761472	0.002342
0.792585	-0.767793	0.000781	0.766024	0.002293
0.797395	-0.764023	0.000872	0.761834	0.002677
0.802204	-0.763248	0.000747	0.758980	0.002400
0.807014	-0.758878	0.000804	0.756949	0.002304
0.811824	-0.757188	0.000836	0.748806	0.002717
0.816633	-0.757501	0.000811	0.752331	0.002476
0.821443	-0.754344	0.000769	0.750732	0.002531
0.826253	-0.751122	0.000878	0.745950	0.002647
0.831062	-0.749534	0.000741	0.745286	0.002645
0.835872	-0.747924	0.000794	0.739755	0.002845
0.840681	-0.749599	0.000785	0.747222	0.002306
0.845491	-0.746374	0.000798	0.737650	0.002939
0.850301	-0.744116	0.000765	0.738390	0.002639
0.855110	-0.740570	0.000813	0.735180	0.003322
0.859920	-0.736300	0.000920	0.732986	0.003095
0.864729	-0.735551	0.000920	0.726453	0.003335
0.869539	-0.731022	0.001063	0.719901	0.003584
0.874349	-0.728980	0.000992	0.717619	0.003472
0.879158	-0.726931	0.000823	0.718472	0.003002
0.883968	-0.725750	0.000918	0.717787	0.003247
0.888778	-0.722346	0.001037	0.712871	0.004218
0.893587	-0.723727	0.000875	0.720578	0.002683
0.898397	-0.718485	0.000954	0.705844	0.004181
0.903206	-0.724838	0.000892	0.716197	0.003492
0.908016	-0.719692	0.000914	0.705925	0.004777
0.912826	-0.712567	0.001119	0.701229	0.004237
0.917635	-0.709650	0.000935	0.697453	0.004347
0.922445	-0.710012	0.000948	0.696768	0.003636
0.927255	-0.710364	0.001051	0.697740	0.003957
0.932064	-0.705351	0.001048	0.693738	0.004834
0.936874	-0.697898	0.001009	0.686823	0.004865
0.941683	-0.700217	0.001003	0.679837	0.004860
0.946493	-0.697844	0.001086	0.676526	0.004910
0.951303	-0.693150	0.001088	0.675701	0.005595
0.956112	-0.693425	0.001096	0.673723	0.004855
0.960922	-0.686264	0.001234	0.663259	0.007373
0.965731	-0.687165	0.000974	0.666692	0.004873
0.970541	-0.679098	0.001263	0.651463	0.006691
0.975351	-0.681545	0.001134	0.656458	0.005901
0.980160	-0.678326	0.001244	0.652831	0.006768
0.984970	-0.675517	0.001204	0.645740	0.006966
0.989780	-0.673796	0.001184	0.640722	0.007379
0.994589	-0.671054	0.001089	0.635827	0.008294
0.999399	-0.666488	0.001503	0.633479	0.009748
1.004208	-0.665699	0.001400	0.630900	0.008617
1.009018	-0.656639	0.001370	0.605809	0.012367
1.013828	-0.655756	0.001411	0.616481	0.010044
1.018637	-0.649275	0.001678	0.597198	0.012173
1.023447	-0.651074	0.001176	0.611650	0.008602
1.028257	-0.647436	0.001490	0.593678	0.010777
1.033066	-0.645236	0.001401	0.595834	0.010771
1.037876	-0.637560	0.001381	0.579921	0.013451
1.042685	-0.635322	0.001335	0.572322	0.011740
1.047495	-0.630063	0.001350	0.561667	0.013476
1.052305	-0.628718	0.001500	0.553494	0.015036
1.057114	-0.627421	0.001338	0.561570	0.014074
1.061924	-0.621666	0.001276	0.554415	0.012113
1.066733	-0.617100	0.001414	0.536575	0.013793
1.071543	-0.617916	0.001466	0.531693	0.015976
1.076353	-0.608791	0.001437	0.520778	0.017193
1.081162	-0.605494	0.001430	0.516362	0.014430
1.085972	-0.604164	0.001408	0.522899	0.013839
1.090782	-0.602143	0.001393	0.512193	0.016201
1.095591	-0.600859	0.001390	0.502551	0.017969
1.100401	-0.597566	0.001443	0.506226	0.016776
1.105210	-0.591524	0.001437	0.493117	0.015950
1.110020	-0.582743	0.001357	0.455512	0.019223
1.114830	-0.585419	0.001419	0.468464	0.019144
1.119639	-0.582607	0.001715	0.470214	0.017416
1.124449	-0.573855	0.001364	0.442660	0.017896
1.129259	-0.572672	0.001442	0.439038	0.018797
1.134068	-0.566218	0.001339	0.432661	0.017161
1.138878	-0.567579	0.001395	0.426007	0.019189
1.143687	-0.557263	0.001534	0.411865	0.018238
1.148497	-0.558702	0.001336	0.414325	0.017260
1.153307	-0.556848	0.001316	0.410853	0.017856
1.158116	-0.552805	0.001548	0.399206	0.018628
1.162926	-0.549811	0.001263	0.399241	0.016590
1.167735	-0.543213	0.001405	0.388682	0.018190
1.172545	-0.542528	0.001300	0.383523	0.018404
1.177355	-0.536772	0.001396	0.370127	0.016924
1.182164	-0.536922	0.001266	0.366216	0.017838
1.186974	-0.532165	0.001118	0.353856	0.017481
1.191784	-0.533579	0.001267	0.358514	0.016794
1.196593	-0.526480	0.001222	0.340076	0.015437
1.201403	-0.527387	0.001203	0.357147	0.016465
1.206212	-0.520180	0.001378	0.335471	0.016412
1.211022	-0.521055	0.001172	0.344076	0.016575
1.215832	-0.522866	0.001071	0.343114	0.015849
1.220641	-0.512548	0.001368	0.322138	0.018298
1.225451	-0.506558	0.001293	0.311082	0.014957
1.230261	-0.505305	0.001052	0.313221	0.014323
1.235070	-0.505605	0.001140	0.320954	0.014001
1.239880	-0.500038	0.001053	0.301481	0.014442
1.244689	-0.496787	0.001133	0.301700	0.013459
1.249499	-0.495759	0.000966	0.298430	0.012671
1.254309	-0.489922	0.001087	0.282790	0.013401
1.259118	-0.489967	0.001031	0.284363	0.013281
1.263928	-0.483919	0.001065	0.279787	0.011843
1.268737	-0.483230	0.000962	0.270921	0.012384
1.273547	-0.485801	0.001042	0.275218	0.012585
1.278357	-0.480203	0.001123	0.275965	0.012327
1.283166	-0.477713	0.001074	0.270038	0.012851
1.287976	-0.475377	0.001023	0.268689	0.011479
1.292786	-0.475880	0.000937	0.262878	0.011113
1.297595	-0.467761	0.000961	0.248837	0.011175
1.302405	-0.468002	0.000916	0.249594	0.010060
1.307214	-0.462072	0.001052	0.245999	0.010624
1.312024	-0.463720	0.000948	0.255525	0.010578
1.316834	-0.460923	0.000878	0.246347	0.009796
1.321643	-0.456706	0.000906	0.240275	0.009885
1.326453	-0.458719	0.000945	0.239579	0.009603
1.331263	-0.456628	0.000911	0.245992	0.009783
1.336072	-0.454987	0.000899	0.235212	0.010069
1.340882	-0.451153	0.000843	0.230091	0.009205
1.345691	-0.445895	0.000834	0.228765	0.009199
1.350501	-0.443081	0.000933	0.221367	0.009068
1.355311	-0.445578	0.000932	0.223285	0.008145
1.360120	-0.438170	0.000796	0.216206	0.008132
1.364930	-0.439754	0.000888	0.223751	0.008458
1.369739	-0.435345	0.000922	0.220917	0.008649
1.374549	-0.433312	0.000830	0.205374	0.007602
1.379359	-0.438326	0.000865	0.219843	0.008319
1.384168	-0.432435	0.000765	0.210919	0.007492
