folder_name,total_images,valid_predictions,error_count,avg_ordered_probability,avg_amorphous_probability,var_ordered_probability,var_amorphous_probability,amorphous_prediction_rate
0.850,100,100,0,0.983006,0.016994,0.003289,0.003289,1.0
0.856,100,100,0,0.986575,0.013425,0.003379,0.003379,0.99
0.862,100,100,0,0.973409,0.026591,0.009071,0.009071,0.99
0.868,100,100,0,0.993362,0.006638,0.000503,0.000503,1.0
0.874,100,100,0,0.97252,0.02748,0.008782,0.008782,0.99
0.880,100,100,0,0.97752,0.02248,0.004343,0.004343,1.0
0.886,100,100,0,0.968375,0.031625,0.01049,0.01049,0.99
0.892,100,100,0,0.975148,0.024852,0.006037,0.006037,0.99
0.898,100,100,0,0.95078,0.04922,0.026287,0.026287,0.97
0.905,100,100,0,0.969717,0.030283,0.010669,0.010669,0.99
0.911,100,100,0,0.954489,0.045511,0.024993,0.024993,0.96
0.917,100,100,0,0.963107,0.036893,0.012465,0.012465,0.99
0.923,100,100,0,0.95379,0.04621,0.015082,0.015082,0.97
0.929,100,100,0,0.962267,0.037733,0.013186,0.013186,0.98
0.935,100,100,0,0.950644,0.049356,0.024785,0.024785,0.96
0.941,100,100,0,0.949474,0.050526,0.021146,0.021146,0.96
0.947,100,100,0,0.944556,0.055444,0.020253,0.020253,0.97
0.953,100,100,0,0.929504,0.070496,0.030036,0.030036,0.93
0.959,100,100,0,0.946798,0.053202,0.022274,0.022274,0.96
0.965,100,100,0,0.923664,0.076336,0.037262,0.037262,0.94
0.971,100,100,0,0.924879,0.075121,0.033578,0.033578,0.94
0.977,100,100,0,0.931327,0.068673,0.028126,0.028126,0.95
0.983,100,100,0,0.906112,0.093889,0.042845,0.042845,0.93
0.989,100,100,0,0.89295,0.10705,0.04666,0.04666,0.93
0.995,100,100,0,0.853441,0.146559,0.072361,0.072361,0.86
1.002,100,100,0,0.871949,0.128051,0.063108,0.063108,0.89
1.008,100,100,0,0.820467,0.179533,0.099265,0.099265,0.83
1.014,100,100,0,0.784219,0.215781,0.094977,0.094977,0.82
1.020,100,100,0,0.849881,0.150119,0.077709,0.077709,0.87
1.026,100,100,0,0.793869,0.206131,0.100087,0.100087,0.8
1.032,100,100,0,0.831147,0.168853,0.084008,0.084008,0.87
1.038,100,100,0,0.777548,0.222452,0.103258,0.103258,0.8
1.044,100,100,0,0.745118,0.254882,0.116516,0.116516,0.76
1.050,100,100,0,0.708999,0.291001,0.126098,0.126098,0.71
1.056,100,100,0,0.652257,0.347743,0.135617,0.135617,0.63
1.062,100,100,0,0.693346,0.306654,0.13497,0.13497,0.72
1.068,100,100,0,0.743227,0.256773,0.118123,0.118123,0.76
1.074,100,100,0,0.699582,0.300418,0.124019,0.124019,0.72
1.080,100,100,0,0.5953,0.4047,0.148648,0.148649,0.6
1.086,100,100,0,0.53781,0.46219,0.167722,0.167722,0.54
1.092,100,100,0,0.544163,0.455837,0.167418,0.167418,0.54
1.098,100,100,0,0.499837,0.500163,0.149176,0.149176,0.51
1.105,100,100,0,0.47769,0.52231,0.142692,0.142692,0.48
1.111,100,100,0,0.450748,0.549252,0.157172,0.157172,0.43
1.117,100,100,0,0.36691,0.63309,0.133197,0.133197,0.35
1.123,100,100,0,0.400986,0.599014,0.164141,0.164141,0.38
1.129,100,100,0,0.35848,0.64152,0.146473,0.146473,0.33
1.135,100,100,0,0.311257,0.688743,0.119479,0.119479,0.28
1.141,100,100,0,0.347674,0.652326,0.143019,0.143019,0.34
1.147,100,100,0,0.333475,0.666525,0.150433,0.150433,0.31
1.153,100,100,0,0.204364,0.795636,0.099078,0.099078,0.16
1.159,100,100,0,0.242132,0.757868,0.106867,0.106867,0.24
1.165,100,100,0,0.192409,0.807591,0.092416,0.092416,0.17
1.171,100,100,0,0.143606,0.856394,0.064598,0.064598,0.12
1.177,100,100,0,0.165756,0.834244,0.066621,0.066621,0.11
1.183,100,100,0,0.124094,0.875906,0.05707,0.05707,0.1
1.189,100,100,0,0.104955,0.895045,0.048074,0.048074,0.08
1.195,100,100,0,0.121533,0.878467,0.061409,0.061409,0.08
1.202,100,100,0,0.100363,0.899637,0.043986,0.043986,0.07
1.208,100,100,0,0.140224,0.859776,0.067958,0.067958,0.12
1.214,100,100,0,0.088512,0.911488,0.040638,0.040638,0.06
1.220,100,100,0,0.074692,0.925308,0.034422,0.034422,0.05
1.226,100,100,0,0.067792,0.932208,0.032218,0.032218,0.05
1.232,100,100,0,0.037501,0.962499,0.010289,0.010289,0.01
1.238,100,100,0,0.045476,0.954524,0.0139,0.013901,0.02
1.244,100,100,0,0.028372,0.971628,0.006689,0.006689,0.01
1.250,100,100,0,0.042567,0.957433,0.017176,0.017176,0.03
1.256,100,100,0,0.038745,0.961255,0.015197,0.015197,0.04
1.262,100,100,0,0.029266,0.970734,0.01253,0.01253,0.03
1.268,100,100,0,0.031281,0.968719,0.018346,0.018346,0.02
1.274,100,100,0,0.026944,0.973056,0.015924,0.015924,0.02
1.280,100,100,0,0.0101,0.9899,0.003725,0.003725,0.01
1.286,100,100,0,0.007657,0.992343,0.00097,0.00097,0.0
1.292,100,100,0,0.007533,0.992467,0.001063,0.001063,0.0
1.298,100,100,0,0.023391,0.976609,0.010528,0.010528,0.02
1.305,100,100,0,0.007302,0.992698,0.001735,0.001735,0.0
1.311,100,100,0,0.009169,0.990831,0.003011,0.003011,0.01
1.317,100,100,0,0.004018,0.995982,0.000353,0.000353,0.0
1.323,100,100,0,0.004294,0.995706,0.000342,0.000342,0.0
1.329,100,100,0,0.002713,0.997287,0.000174,0.000174,0.0
1.335,100,100,0,0.002223,0.997777,0.000205,0.000205,0.0
1.341,100,100,0,0.003336,0.996664,0.000216,0.000216,0.0
1.347,100,100,0,0.000934,0.999066,1.4e-05,1.4e-05,0.0
1.353,100,100,0,0.00072,0.99928,7e-06,7e-06,0.0
1.359,100,100,0,0.001699,0.998301,7.4e-05,7.4e-05,0.0
1.365,100,100,0,0.001191,0.99881,4.3e-05,4.3e-05,0.0
1.371,100,100,0,0.001124,0.998876,1.3e-05,1.3e-05,0.0
1.377,100,100,0,0.000779,0.999221,1.3e-05,1.3e-05,0.0
1.383,100,100,0,0.000132,0.999868,0.0,0.0,0.0
1.389,100,100,0,0.000405,0.999595,5e-06,5e-06,0.0
1.395,100,100,0,0.000164,0.999836,0.0,0.0,0.0
1.402,100,100,0,0.000795,0.999205,2.3e-05,2.3e-05,0.0
1.408,100,100,0,0.000573,0.999428,6e-06,6e-06,0.0
1.414,100,100,0,0.000326,0.999674,1e-06,1e-06,0.0
1.420,100,100,0,0.000492,0.999508,8e-06,8e-06,0.0
1.426,100,100,0,0.000193,0.999807,2e-06,2e-06,0.0
1.432,100,100,0,0.000199,0.999801,1e-06,1e-06,0.0
1.438,100,100,0,0.000231,0.999769,1e-06,1e-06,0.0
1.444,100,100,0,5.9e-05,0.999941,0.0,0.0,0.0
1.450,100,100,0,5.2e-05,0.999948,0.0,0.0,0.0
