folder_name,total_images,valid_predictions,error_count,avg_ordered_probability,avg_amorphous_probability,var_ordered_probability,var_amorphous_probability,amorphous_prediction_rate
1.032,100,100,0,0.825056,0.174944,0.085912,0.085912,0.85
1.038,100,100,0,0.849052,0.150948,0.083793,0.083793,0.87
1.044,100,100,0,0.877083,0.122917,0.069283,0.069283,0.88
1.050,100,100,0,0.813211,0.186789,0.097993,0.097993,0.86
1.056,100,100,0,0.829587,0.170413,0.089007,0.089007,0.84
1.062,100,100,0,0.791332,0.208668,0.10369,0.10369,0.79
1.068,100,100,0,0.814928,0.185072,0.092669,0.092669,0.82
1.074,100,100,0,0.733693,0.266307,0.128036,0.128036,0.71
1.080,100,100,0,0.704414,0.295586,0.136541,0.136541,0.73
1.086,100,100,0,0.722135,0.277865,0.112094,0.112094,0.74
1.092,100,100,0,0.733718,0.266282,0.129818,0.129818,0.76
1.098,100,100,0,0.667046,0.332953,0.135625,0.135625,0.69
1.105,100,100,0,0.629525,0.370475,0.159136,0.159136,0.63
1.111,100,100,0,0.642342,0.357658,0.156386,0.156386,0.65
1.117,100,100,0,0.610585,0.389415,0.172697,0.172697,0.6
1.123,100,100,0,0.64596,0.35404,0.157861,0.157861,0.64
1.129,100,100,0,0.594529,0.405471,0.17029,0.17029,0.6
1.135,100,100,0,0.555524,0.444476,0.17522,0.17522,0.53
1.141,100,100,0,0.534348,0.465652,0.171773,0.171773,0.54
1.147,100,100,0,0.505557,0.494443,0.173676,0.173675,0.5
1.153,100,100,0,0.459465,0.540535,0.161639,0.161639,0.45
1.159,100,100,0,0.521185,0.478815,0.18087,0.18087,0.53
1.165,100,100,0,0.456645,0.543355,0.187054,0.187054,0.47
1.171,100,100,0,0.425419,0.574581,0.170489,0.170489,0.42
1.177,100,100,0,0.350408,0.649592,0.151711,0.151711,0.35
1.183,100,100,0,0.383729,0.616271,0.162694,0.162694,0.38
1.189,100,100,0,0.361135,0.638865,0.173902,0.173902,0.36
1.195,100,100,0,0.360319,0.639681,0.138838,0.138838,0.32
1.202,100,100,0,0.342037,0.657963,0.14782,0.14782,0.33
1.208,100,100,0,0.343293,0.656707,0.166448,0.166448,0.35
1.214,100,100,0,0.348351,0.651649,0.168871,0.168871,0.34
1.220,100,100,0,0.269028,0.730972,0.132992,0.132992,0.24
1.226,100,100,0,0.200474,0.799526,0.110997,0.110997,0.17
1.232,100,100,0,0.192812,0.807188,0.088419,0.088419,0.16
1.238,100,100,0,0.220117,0.779883,0.111647,0.111647,0.2
1.244,100,100,0,0.212796,0.787204,0.09698,0.09698,0.2
1.250,100,100,0,0.226349,0.773651,0.114503,0.114503,0.21
1.256,100,100,0,0.208456,0.791544,0.122825,0.122825,0.21
1.262,100,100,0,0.099974,0.900026,0.060141,0.060141,0.08
1.268,100,100,0,0.161891,0.838109,0.079466,0.079466,0.17
1.274,100,100,0,0.189914,0.810086,0.104098,0.104098,0.19
1.280,100,100,0,0.128213,0.871787,0.079419,0.079419,0.1
1.286,100,100,0,0.121538,0.878462,0.067064,0.067064,0.08
1.292,100,100,0,0.105661,0.894339,0.048005,0.048005,0.08
1.298,100,100,0,0.103176,0.896824,0.054688,0.054688,0.1
1.305,100,100,0,0.086587,0.913413,0.050943,0.050943,0.08
1.311,100,100,0,0.111892,0.888108,0.059862,0.059862,0.08
1.317,100,100,0,0.099048,0.900952,0.060175,0.060175,0.08
1.323,100,100,0,0.078726,0.921274,0.031375,0.031375,0.05
1.329,100,100,0,0.074851,0.925149,0.04093,0.04093,0.06
1.335,100,100,0,0.068657,0.931343,0.038489,0.038489,0.04
1.341,100,100,0,0.101365,0.898635,0.055223,0.055223,0.08
1.347,100,100,0,0.073613,0.926387,0.046676,0.046676,0.06
1.353,100,100,0,0.04113,0.95887,0.018748,0.018748,0.04
1.359,100,100,0,0.019117,0.980883,0.007309,0.007309,0.02
1.365,100,100,0,0.043229,0.956771,0.024386,0.024386,0.03
1.371,100,100,0,0.034361,0.965639,0.014522,0.014522,0.03
1.377,100,100,0,0.063286,0.936714,0.037167,0.037167,0.05
1.383,100,100,0,0.038715,0.961285,0.023801,0.023801,0.03
1.389,100,100,0,0.01628,0.98372,0.003825,0.003825,0.0
1.395,100,100,0,0.038042,0.961958,0.019847,0.019847,0.03
1.402,100,100,0,0.013622,0.986378,0.004186,0.004186,0.01
1.408,100,100,0,0.05283,0.94717,0.023864,0.023864,0.04
1.414,100,100,0,0.01287,0.98713,0.004368,0.004368,0.0
1.420,100,100,0,0.008182,0.991818,0.001102,0.001102,0.0
1.426,100,100,0,0.007721,0.992279,0.000745,0.000745,0.0
1.432,100,100,0,0.030273,0.969727,0.017705,0.017705,0.02
1.438,100,100,0,0.048019,0.951981,0.026964,0.026964,0.04
1.444,100,100,0,0.008573,0.991427,0.001144,0.001144,0.0
1.450,100,100,0,0.008308,0.991692,0.000932,0.000932,0.0
