folder_name,total_images,valid_predictions,error_count,avg_ordered_probability,avg_amorphous_probability,var_ordered_probability,var_amorphous_probability,amorphous_prediction_rate
0.850,100,100,0,0.995918,0.004082,0.000202,0.000202,1.0
0.856,100,100,0,0.998244,0.001755,5e-05,5e-05,1.0
0.862,100,100,0,0.992401,0.007599,0.002909,0.002909,0.99
0.868,100,100,0,0.982756,0.017244,0.01245,0.01245,0.98
0.874,100,100,0,0.992365,0.007635,0.001353,0.001353,1.0
0.880,100,100,0,0.981622,0.018378,0.009952,0.009952,0.99
0.886,100,100,0,0.994319,0.005681,0.000488,0.000488,1.0
0.892,100,100,0,0.994426,0.005574,0.000554,0.000554,1.0
0.898,100,100,0,0.993172,0.006828,0.000921,0.000921,1.0
0.905,100,100,0,0.994484,0.005516,0.00033,0.00033,1.0
0.911,100,100,0,0.979919,0.020081,0.007682,0.007682,0.98
0.917,100,100,0,0.982322,0.017678,0.006496,0.006496,0.98
0.923,100,100,0,0.99196,0.008039,0.000805,0.000805,1.0
0.929,100,100,0,0.976241,0.023759,0.011777,0.011777,0.98
0.935,100,100,0,0.97326,0.02674,0.008856,0.008856,0.99
0.941,100,100,0,0.971559,0.028441,0.007024,0.007024,0.99
0.947,100,100,0,0.974925,0.025075,0.01049,0.01049,0.98
0.953,100,100,0,0.97868,0.02132,0.003422,0.003422,1.0
0.959,100,100,0,0.960056,0.039944,0.020893,0.020893,0.96
0.965,100,100,0,0.926942,0.073058,0.043316,0.043316,0.93
0.971,100,100,0,0.967379,0.032621,0.013361,0.013361,0.98
0.977,100,100,0,0.924928,0.075072,0.039034,0.039034,0.93
0.983,100,100,0,0.930006,0.069994,0.037728,0.037728,0.95
0.989,100,100,0,0.956182,0.043818,0.018474,0.018474,0.97
0.995,100,100,0,0.941666,0.058334,0.025245,0.025245,0.96
1.002,100,100,0,0.9392,0.0608,0.025998,0.025998,0.95
1.008,100,100,0,0.871118,0.128882,0.073662,0.073662,0.88
1.014,100,100,0,0.868749,0.131251,0.064383,0.064383,0.88
1.020,100,100,0,0.916446,0.083554,0.029315,0.029315,0.95
1.026,100,100,0,0.872968,0.127031,0.067813,0.067813,0.9
