# # Temperature	Energy	Specific Heat	Magnetization	Susceptibility
0.100000	-0.974779	0.000472	0.974563	0.000242
0.124242	-0.968693	0.000403	0.969761	0.000197
0.148485	-0.961740	0.000458	0.962826	0.000305
0.172727	-0.956178	0.000565	0.957027	0.000355
0.196970	-0.949336	0.000536	0.948933	0.000478
0.221212	-0.942299	0.000554	0.943301	0.000506
0.245455	-0.937065	0.000513	0.938554	0.000577
0.269697	-0.930445	0.000511	0.931044	0.000527
0.293939	-0.922907	0.000540	0.921841	0.000713
0.318182	-0.916503	0.000536	0.917447	0.000709
0.342424	-0.908676	0.000555	0.910927	0.000761
0.366667	-0.903005	0.000541	0.905409	0.000756
0.390909	-0.895579	0.000564	0.896521	0.000754
0.415152	-0.890284	0.000547	0.891370	0.001009
0.439394	-0.883183	0.000655	0.883248	0.001084
0.463636	-0.876293	0.000577	0.878959	0.000940
0.487879	-0.869215	0.000565	0.870342	0.001059
0.512121	-0.861371	0.000732	0.860402	0.001265
0.536364	-0.854405	0.000620	0.857047	0.001074
0.560606	-0.845482	0.000612	0.839250	0.001758
0.584848	-0.837909	0.000554	0.841760	0.001192
0.609091	-0.831508	0.000620	0.829487	0.001447
0.633333	-0.822320	0.000668	0.821578	0.001503
0.657576	-0.816179	0.000645	0.817892	0.001530
0.681818	-0.807719	0.000665	0.805418	0.001786
0.706061	-0.800325	0.000608	0.800661	0.001768
0.730303	-0.789921	0.000765	0.787464	0.002317
0.754545	-0.782159	0.000691	0.783902	0.001734
0.778788	-0.770073	0.000658	0.771142	0.001979
0.803030	-0.762979	0.000726	0.762234	0.002415
0.827273	-0.754691	0.000805	0.750587	0.002436
0.851515	-0.742610	0.000926	0.737235	0.002756
0.875758	-0.731243	0.001041	0.720455	0.004092
0.900000	-0.719254	0.001082	0.705028	0.004478
0.924242	-0.712685	0.000983	0.702224	0.003321
0.948485	-0.695961	0.001237	0.681373	0.005538
0.972727	-0.684341	0.001096	0.665984	0.005599
0.996970	-0.670833	0.001163	0.645058	0.007940
1.021212	-0.650117	0.001247	0.604039	0.009053
1.045455	-0.633776	0.001505	0.570842	0.012626
1.069697	-0.617215	0.001423	0.533065	0.016689
1.093939	-0.598721	0.001720	0.496373	0.018484
1.118182	-0.579676	0.001430	0.457000	0.017763
1.142424	-0.566899	0.001260	0.437570	0.017617
1.166667	-0.549179	0.001401	0.405288	0.018247
1.190909	-0.533562	0.001367	0.373943	0.017881
1.215152	-0.514190	0.001156	0.332240	0.015431
1.239394	-0.501538	0.001090	0.299187	0.014104
1.263636	-0.487546	0.000966	0.269233	0.012674
1.287879	-0.473117	0.000921	0.260344	0.010711
1.312121	-0.463331	0.000891	0.247730	0.009940
1.336364	-0.450620	0.001020	0.233405	0.009146
1.360606	-0.437467	0.000846	0.218840	0.008265
1.384848	-0.426193	0.000826	0.206451	0.007839
1.409091	-0.423744	0.000780	0.200798	0.006911
1.433333	-0.412485	0.000861	0.195839	0.006568
1.457576	-0.402764	0.000747	0.181100	0.005772
1.481818	-0.391863	0.000603	0.176030	0.005348
1.506061	-0.383947	0.000618	0.168255	0.005148
1.530303	-0.381844	0.000559	0.165761	0.004578
1.554545	-0.368351	0.000594	0.158827	0.004027
1.578788	-0.369021	0.000522	0.160495	0.004134
1.603030	-0.356874	0.000531	0.152761	0.003805
1.627273	-0.348851	0.000555	0.145974	0.003550
1.651515	-0.342281	0.000507	0.146247	0.003326
1.675758	-0.339501	0.000461	0.144986	0.003154
1.700000	-0.332089	0.000463	0.139001	0.002901
1.724242	-0.324906	0.000439	0.136514	0.002799
1.748485	-0.321804	0.000487	0.135491	0.002841
1.772727	-0.316871	0.000399	0.130665	0.002733
1.796970	-0.312014	0.000414	0.131300	0.002557
1.821212	-0.306657	0.000395	0.125845	0.002372
1.845455	-0.299750	0.000384	0.123584	0.002141
1.869697	-0.295854	0.000394	0.121554	0.002067
1.893939	-0.289847	0.000355	0.117868	0.002039
1.918182	-0.286184	0.000354	0.116311	0.001887
1.942424	-0.281002	0.000338	0.115236	0.001881
1.966667	-0.277183	0.000341	0.112769	0.001773
1.990909	-0.274242	0.000320	0.112889	0.001781
2.015152	-0.270227	0.000278	0.111651	0.001610
2.039394	-0.264563	0.000298	0.110453	0.001453
2.063636	-0.264166	0.000301	0.107558	0.001574
2.087879	-0.261057	0.000276	0.107092	0.001473
2.112121	-0.256872	0.000268	0.107286	0.001467
2.136364	-0.253575	0.000265	0.104164	0.001393
2.160606	-0.250219	0.000245	0.104267	0.001253
2.184848	-0.247899	0.000237	0.104990	0.001400
2.209091	-0.245564	0.000260	0.102801	0.001320
2.233333	-0.244600	0.000250	0.103236	0.001225
2.257576	-0.237673	0.000225	0.099237	0.001166
2.281818	-0.234757	0.000238	0.100183	0.001213
2.306061	-0.231624	0.000208	0.097579	0.001052
2.330303	-0.227869	0.000226	0.099410	0.001170
2.354545	-0.225115	0.000228	0.095246	0.001045
2.378788	-0.225685	0.000212	0.095670	0.001079
2.403030	-0.220543	0.000213	0.094172	0.001021
2.427273	-0.219051	0.000214	0.094547	0.001028
2.451515	-0.215859	0.000209	0.090281	0.000962
2.475758	-0.213916	0.000196	0.090235	0.000959
2.500000	-0.212738	0.000187	0.091208	0.000922
