# # Temperature	Energy	Specific Heat	Magnetization	Susceptibility
0.100000	-0.974535	0.000135	0.968723	0.000214
0.139394	-0.964439	0.000141	0.956254	0.000380
0.178788	-0.954246	0.000127	0.944224	0.000373
0.218182	-0.943855	0.000147	0.932948	0.000404
0.257576	-0.932898	0.000136	0.918399	0.000540
0.296970	-0.922029	0.000149	0.906654	0.000560
0.336364	-0.911662	0.000126	0.892902	0.000694
0.375758	-0.900496	0.000134	0.879412	0.000893
0.415152	-0.888846	0.000136	0.867292	0.000769
0.454545	-0.877651	0.000155	0.852126	0.000955
0.493939	-0.866700	0.000149	0.838890	0.001014
0.533333	-0.854976	0.000145	0.826502	0.001032
0.572727	-0.841992	0.000151	0.812110	0.001145
0.612121	-0.830390	0.000155	0.795089	0.001168
0.651515	-0.816516	0.000176	0.782903	0.001178
0.690909	-0.803617	0.000176	0.763696	0.001354
0.730303	-0.789414	0.000168	0.748131	0.001418
0.769697	-0.774250	0.000193	0.729869	0.001602
0.809091	-0.759661	0.000196	0.708821	0.001794
0.848485	-0.742568	0.000223	0.687137	0.002268
0.887879	-0.724187	0.000230	0.663901	0.002595
0.927273	-0.705101	0.000287	0.629881	0.004470
0.966667	-0.681783	0.000305	0.586532	0.005731
1.006061	-0.655283	0.000369	0.513726	0.010583
1.045455	-0.624786	0.000355	0.417986	0.014360
1.084848	-0.597586	0.000357	0.334949	0.014198
1.124242	-0.568286	0.000343	0.253593	0.011722
1.163636	-0.544417	0.000286	0.210080	0.008474
1.203030	-0.519705	0.000264	0.176675	0.005742
1.242424	-0.496915	0.000267	0.149725	0.004747
1.281818	-0.478055	0.000241	0.134149	0.003610
1.321212	-0.460803	0.000241	0.120598	0.002917
1.360606	-0.439368	0.000203	0.111520	0.002399
1.400000	-0.425845	0.000176	0.100590	0.001886
1.439394	-0.410264	0.000187	0.097415	0.001673
1.478788	-0.396171	0.000170	0.087378	0.001324
1.518182	-0.383165	0.000165	0.085670	0.001260
1.557576	-0.371590	0.000148	0.080809	0.001205
1.596970	-0.360222	0.000137	0.078163	0.001060
1.636364	-0.347891	0.000125	0.073519	0.000896
1.675758	-0.338180	0.000126	0.070032	0.000820
1.715152	-0.328921	0.000114	0.068078	0.000734
1.754545	-0.319929	0.000108	0.065639	0.000682
1.793939	-0.312563	0.000105	0.063552	0.000620
1.833333	-0.303501	0.000099	0.061379	0.000588
1.872727	-0.295098	0.000087	0.060625	0.000525
1.912121	-0.287650	0.000087	0.058976	0.000483
1.951515	-0.280720	0.000089	0.058741	0.000492
1.990909	-0.274919	0.000081	0.056689	0.000444
2.030303	-0.269060	0.000077	0.055917	0.000412
2.069697	-0.263299	0.000070	0.055246	0.000389
2.109091	-0.256071	0.000070	0.052342	0.000369
2.148485	-0.251061	0.000069	0.052073	0.000344
2.187879	-0.246203	0.000061	0.051130	0.000328
2.227273	-0.241933	0.000062	0.050381	0.000334
2.266667	-0.236360	0.000059	0.050472	0.000322
2.306061	-0.231772	0.000057	0.050277	0.000298
2.345455	-0.227881	0.000053	0.049602	0.000284
2.384848	-0.222292	0.000052	0.047082	0.000253
2.424242	-0.220002	0.000055	0.048202	0.000256
2.463636	-0.216232	0.000048	0.047026	0.000239
2.503030	-0.212046	0.000043	0.046659	0.000230
2.542424	-0.207374	0.000045	0.045569	0.000217
2.581818	-0.204474	0.000041	0.046236	0.000225
2.621212	-0.201063	0.000040	0.045918	0.000218
2.660606	-0.197232	0.000040	0.045397	0.000212
2.700000	-0.194675	0.000038	0.043772	0.000190
2.739394	-0.191861	0.000037	0.044224	0.000199
2.778788	-0.188466	0.000035	0.043546	0.000183
2.818182	-0.185876	0.000035	0.043074	0.000182
2.857576	-0.181930	0.000035	0.043483	0.000179
2.896970	-0.180260	0.000032	0.042099	0.000176
2.936364	-0.177514	0.000031	0.042063	0.000168
2.975758	-0.176078	0.000030	0.041261	0.000155
3.015152	-0.173103	0.000031	0.041278	0.000156
3.054545	-0.170716	0.000030	0.040347	0.000146
3.093939	-0.168143	0.000029	0.040338	0.000148
3.133333	-0.166119	0.000029	0.040842	0.000145
3.172727	-0.163397	0.000027	0.040613	0.000135
3.212121	-0.160914	0.000027	0.039890	0.000138
3.251515	-0.159389	0.000025	0.039356	0.000126
3.290909	-0.157047	0.000024	0.039454	0.000129
3.330303	-0.154872	0.000023	0.040080	0.000127
3.369697	-0.154304	0.000023	0.039285	0.000123
3.409091	-0.151082	0.000024	0.039905	0.000130
3.448485	-0.149554	0.000022	0.038840	0.000116
3.487879	-0.146967	0.000023	0.038665	0.000113
3.527273	-0.146123	0.000021	0.038899	0.000109
3.566667	-0.144891	0.000020	0.038509	0.000107
3.606061	-0.142877	0.000021	0.038371	0.000113
3.645455	-0.140423	0.000020	0.039098	0.000115
3.684848	-0.140112	0.000019	0.037299	0.000110
3.724242	-0.138157	0.000020	0.038458	0.000106
3.763636	-0.136585	0.000019	0.038175	0.000106
3.803030	-0.135175	0.000018	0.037269	0.000097
3.842424	-0.133588	0.000017	0.037166	0.000101
3.881818	-0.132143	0.000017	0.037891	0.000096
3.921212	-0.130595	0.000016	0.037235	0.000097
3.960606	-0.128868	0.000018	0.036222	0.000098
4.000000	-0.128322	0.000016	0.037175	0.000094
