Temperature,Energy,Energy_Std,Specific_Heat,Specific_Heat_Std,Magnetization,Magnetization_Std,Susceptibility,Susceptibility_Std
0.850000,-0.744316,0.000616,0.215169,0.009865,0.712589,0.001514,1.282760,0.084863
0.862245,-0.738774,0.000647,0.221148,0.010670,0.705410,0.001565,1.326882,0.078882
0.874490,-0.733368,0.000494,0.226096,0.011039,0.698202,0.001609,1.416394,0.087460
0.886735,-0.727662,0.000556,0.233489,0.009566,0.690966,0.001524,1.494483,0.094199
0.898980,-0.721726,0.000582,0.238555,0.012446,0.682845,0.001474,1.602867,0.102739
0.911224,-0.715846,0.000577,0.246394,0.011068,0.673953,0.001647,1.743292,0.118145
0.923469,-0.709586,0.000670,0.255187,0.010836,0.665131,0.001924,1.908764,0.143027
0.935714,-0.703270,0.000656,0.262990,0.011119,0.655323,0.001947,2.113168,0.172421
0.947959,-0.696460,0.000658,0.274031,0.012237,0.644149,0.001968,2.425551,0.200047
0.960204,-0.689762,0.000647,0.282434,0.012680,0.633212,0.001927,2.665882,0.209535
0.972449,-0.682642,0.000730,0.294352,0.013026,0.619937,0.001979,3.088263,0.249911
0.984694,-0.675228,0.000786,0.305841,0.015551,0.605872,0.002426,3.535990,0.259068
0.996939,-0.667556,0.000757,0.317161,0.015913,0.590470,0.002581,4.114760,0.322852
1.009184,-0.659515,0.000887,0.331762,0.015459,0.573628,0.003103,4.785289,0.326021
1.021429,-0.651250,0.000840,0.342089,0.014288,0.554565,0.002870,5.575248,0.354558
1.033673,-0.642723,0.000800,0.355311,0.015980,0.534023,0.003370,6.397917,0.410037
1.045918,-0.633850,0.000954,0.367888,0.017702,0.510980,0.003039,7.271613,0.401544
1.058163,-0.624532,0.000896,0.371952,0.015003,0.486890,0.003774,7.953507,0.390862
1.070408,-0.615447,0.001037,0.380567,0.016263,0.461851,0.004557,8.738208,0.425225
1.082653,-0.606210,0.000902,0.380954,0.017753,0.436026,0.004465,9.189940,0.414441
1.094898,-0.596684,0.000911,0.376376,0.016274,0.410731,0.003804,9.437536,0.337626
1.107143,-0.587503,0.000908,0.371901,0.016989,0.385254,0.004454,9.507341,0.407255
1.119388,-0.578464,0.000972,0.366489,0.015575,0.362387,0.004464,9.269611,0.319521
1.131633,-0.569585,0.000900,0.353609,0.015412,0.339043,0.004304,8.987063,0.323933
1.143878,-0.561035,0.000892,0.348206,0.015030,0.318639,0.003929,8.499833,0.271876
1.156122,-0.552514,0.000964,0.335154,0.015487,0.299010,0.003914,7.980245,0.274069
1.168367,-0.544592,0.000931,0.329234,0.012272,0.281547,0.003626,7.525236,0.300479
1.180612,-0.536697,0.000771,0.317635,0.014104,0.266843,0.003351,6.955396,0.229208
1.192857,-0.529008,0.000893,0.306599,0.011688,0.253353,0.003245,6.459248,0.204278
1.205102,-0.521516,0.000973,0.299623,0.013250,0.240406,0.003163,5.955979,0.227073
1.217347,-0.514290,0.000851,0.289715,0.012468,0.228361,0.003599,5.469470,0.221399
1.229592,-0.507242,0.000790,0.281359,0.012470,0.217531,0.003422,5.055616,0.219770
1.241837,-0.500466,0.000904,0.274877,0.011942,0.208132,0.003020,4.685711,0.194136
1.254082,-0.493799,0.000900,0.267174,0.010267,0.200134,0.003053,4.335085,0.148263
1.266327,-0.487299,0.000729,0.260046,0.011858,0.191450,0.003212,4.032514,0.156241
1.278571,-0.480992,0.000807,0.253174,0.011573,0.184661,0.003033,3.736571,0.158475
1.290816,-0.474872,0.000911,0.246129,0.011592,0.178391,0.002598,3.483331,0.149689
1.303061,-0.468909,0.000856,0.241145,0.011801,0.171780,0.002659,3.232910,0.160309
1.315306,-0.463096,0.000789,0.236684,0.010930,0.167053,0.002643,3.060374,0.116862
1.327551,-0.457367,0.000789,0.229701,0.010736,0.161818,0.002564,2.875876,0.113188
1.339796,-0.451738,0.000808,0.222451,0.009805,0.156594,0.002648,2.658934,0.116684
1.352041,-0.446262,0.000752,0.218948,0.008578,0.152483,0.002420,2.532242,0.105611
1.364286,-0.441004,0.000922,0.213334,0.009994,0.148313,0.002363,2.373069,0.101103
1.376531,-0.435681,0.000705,0.208614,0.008451,0.144364,0.001917,2.246382,0.093981
1.388776,-0.430831,0.000748,0.204052,0.009016,0.140646,0.002174,2.122562,0.096356
1.401020,-0.425967,0.000854,0.199465,0.009003,0.137408,0.001842,2.023671,0.094739
1.413265,-0.420930,0.000858,0.194310,0.009493,0.134074,0.002182,1.915726,0.079338
1.425510,-0.416147,0.000738,0.190233,0.009039,0.130930,0.002134,1.808731,0.081471
1.437755,-0.411449,0.000751,0.185306,0.007436,0.128291,0.001780,1.729021,0.071125
1.450000,-0.406996,0.000813,0.184272,0.008129,0.125783,0.001942,1.639645,0.066864
