T_BKT,ordered_probability,amorphous_probability
0.6357680793923263,0.999127,0.000873
0.6357680793923263,0.996991,0.003009
0.6357680793923263,0.99999,1e-05
0.6357680793923263,0.99982,0.00018
0.6357680793923263,0.90689,0.09311
0.6357680793923263,0.99984,0.00016
0.6357680793923263,0.999556,0.000443
0.6357680793923263,0.9967,0.0033
0.6357680793923263,0.999885,0.000115
0.6357680793923263,0.884544,0.115456
0.6357680793923263,0.999987,1.3e-05
0.6357680793923263,0.99998,2e-05
0.6357680793923263,0.918909,0.081091
0.6357680793923263,0.999579,0.000421
0.6357680793923263,0.999988,1.2e-05
0.6357680793923263,0.998892,0.001108
0.6357680793923263,0.546817,0.453183
0.6357680793923263,0.999986,1.4e-05
0.6357680793923263,0.998645,0.001355
0.6357680793923263,0.999981,1.9e-05
0.6357680793923263,0.998659,0.001341
0.6357680793923263,0.999993,7e-06
0.6357680793923263,0.987541,0.012459
0.6357680793923263,0.998091,0.001909
0.6357680793923263,0.999807,0.000193
0.6357680793923263,0.999743,0.000257
0.6357680793923263,0.99979,0.00021
0.6357680793923263,0.99965,0.00035
0.6357680793923263,0.99924,0.00076
0.6357680793923263,0.999976,2.3e-05
0.6357680793923263,0.99998,2e-05
0.6357680793923263,0.998896,0.001104
0.6357680793923263,0.999962,3.8e-05
0.6357680793923263,0.999162,0.000838
0.6357680793923263,0.999983,1.7e-05
0.6357680793923263,0.999985,1.5e-05
0.6357680793923263,0.920951,0.079049
0.6357680793923263,0.999066,0.000934
0.6357680793923263,0.999945,5.5e-05
0.6357680793923263,0.977122,0.022878
0.6357680793923263,0.999938,6.2e-05
0.6357680793923263,0.999991,9e-06
0.6357680793923263,0.998127,0.001873
0.6357680793923263,0.998806,0.001194
0.6357680793923263,0.997213,0.002787
0.6357680793923263,0.999252,0.000747
0.6357680793923263,0.99999,1e-05
0.6357680793923263,0.999993,7e-06
0.6357680793923263,0.979425,0.020575
0.6357680793923263,0.999968,3.2e-05
0.6357680793923263,0.983715,0.016285
0.6357680793923263,0.999973,2.7e-05
0.6357680793923263,0.791845,0.208155
0.6357680793923263,0.999519,0.000481
0.6357680793923263,0.999984,1.6e-05
0.6357680793923263,0.939734,0.060266
0.6357680793923263,0.998098,0.001902
0.6357680793923263,0.969437,0.030563
0.6357680793923263,0.969016,0.030984
0.6357680793923263,0.99999,1e-05
0.6357680793923263,0.999993,7e-06
0.6357680793923263,0.999981,1.9e-05
0.6357680793923263,0.99347,0.00653
0.6357680793923263,0.999959,4.1e-05
0.6357680793923263,0.999987,1.3e-05
0.6357680793923263,0.979886,0.020114
0.6357680793923263,0.997691,0.002309
0.6357680793923263,0.999105,0.000895
0.6357680793923263,0.999896,0.000104
0.6357680793923263,0.916425,0.083574
0.6357680793923263,0.999988,1.2e-05
0.6357680793923263,0.99926,0.00074
0.6357680793923263,0.999981,1.9e-05
0.6357680793923263,0.999987,1.3e-05
0.6357680793923263,0.994807,0.005193
0.6357680793923263,0.999607,0.000393
0.6357680793923263,0.999993,7e-06
0.6357680793923263,0.999821,0.000179
0.6357680793923263,0.757658,0.242342
0.6357680793923263,0.999891,0.000109
0.6357680793923263,0.999972,2.8e-05
0.6357680793923263,0.986684,0.013316
0.6357680793923263,0.999993,7e-06
0.6357680793923263,0.999125,0.000875
0.6357680793923263,0.984918,0.015082
0.6357680793923263,0.999891,0.000109
0.6357680793923263,0.997788,0.002212
0.6357680793923263,0.98761,0.01239
0.6357680793923263,0.999987,1.3e-05
0.6357680793923263,0.999993,7e-06
0.6357680793923263,0.982509,0.017491
0.6357680793923263,0.993128,0.006872
0.6357680793923263,0.987403,0.012597
0.6357680793923263,0.999892,0.000108
0.6357680793923263,0.999979,2.1e-05
0.6357680793923263,0.999803,0.000197
0.6357680793923263,0.99791,0.00209
0.6357680793923263,0.999993,7e-06
0.6357680793923263,0.998989,0.001011
0.6357680793923263,0.999988,1.2e-05
0.6417680793923263,0.996692,0.003308
0.6417680793923263,0.928436,0.071563
0.6417680793923263,0.999994,6e-06
0.6417680793923263,0.997849,0.002151
0.6417680793923263,0.999835,0.000165
0.6417680793923263,0.999979,2.2e-05
0.6417680793923263,0.999882,0.000118
0.6417680793923263,0.998946,0.001054
0.6417680793923263,0.911925,0.088075
0.6417680793923263,0.999966,3.4e-05
0.6417680793923263,0.99998,2e-05
0.6417680793923263,0.999991,9e-06
0.6417680793923263,0.999446,0.000554
0.6417680793923263,0.999989,1.1e-05
0.6417680793923263,0.999954,4.7e-05
0.6417680793923263,0.99996,4e-05
0.6417680793923263,0.999978,2.2e-05
0.6417680793923263,0.987399,0.012601
0.6417680793923263,0.999558,0.000442
0.6417680793923263,0.999917,8.3e-05
0.6417680793923263,0.99972,0.00028
0.6417680793923263,0.999278,0.000721
0.6417680793923263,0.999749,0.000251
0.6417680793923263,0.976442,0.023559
0.6417680793923263,0.997184,0.002816
0.6417680793923263,0.999793,0.000207
0.6417680793923263,0.999967,3.3e-05
0.6417680793923263,0.999993,7e-06
0.6417680793923263,0.99999,1e-05
0.6417680793923263,0.999966,3.4e-05
0.6417680793923263,0.999994,6e-06
0.6417680793923263,0.946553,0.053447
0.6417680793923263,0.999192,0.000808
0.6417680793923263,0.999981,1.9e-05
