# # Temperature	Energy	Specific Heat	Magnetization	Susceptibility (Ultra Optimized)
0.100000	-1.000000	0.000000	1.000000	0.000000
0.200000	-1.000000	0.000000	1.000000	0.000000
0.300000	-1.000000	0.000000	1.000000	0.000000
0.400000	-1.000000	0.000000	1.000000	0.000000
0.500000	-0.999995	0.000000	0.999998	0.000000
0.600000	-0.999990	0.000000	0.999995	0.000000
0.700000	-0.999889	0.000002	0.999943	0.000000
0.800000	-0.999693	0.000003	0.999845	0.000001
0.900000	-0.999031	0.000008	0.999510	0.000002
1.000000	-0.997434	0.000018	0.998686	0.000005
1.100000	-0.994335	0.000035	0.997066	0.000011
1.200000	-0.989610	0.000052	0.994536	0.000018
1.300000	-0.982134	0.000077	0.990420	0.000031
1.400000	-0.970813	0.000112	0.983891	0.000054
1.500000	-0.955590	0.000155	0.974595	0.000088
1.600000	-0.934420	0.000214	0.960683	0.000151
1.700000	-0.908234	0.000271	0.941817	0.000243
1.800000	-0.870581	0.000355	0.911522	0.000428
1.900000	-0.824249	0.000466	0.867937	0.000932
2.000000	-0.762513	0.000619	0.799148	0.002291
2.100000	-0.680716	0.000868	0.684079	0.006384
2.200000	-0.594608	0.000847	0.531688	0.010733
2.300000	-0.522483	0.000625	0.393655	0.010311
2.400000	-0.472759	0.000436	0.303329	0.007683
2.500000	-0.437726	0.000354	0.253089	0.005726
2.600000	-0.407703	0.000291	0.215742	0.004330
2.700000	-0.383748	0.000250	0.191628	0.003415
2.800000	-0.362047	0.000220	0.174084	0.002756
2.900000	-0.344426	0.000194	0.160389	0.002291
3.000000	-0.327197	0.000172	0.148913	0.001918
