folder_name,total_images,valid_predictions,error_count,avg_ordered_probability,avg_amorphous_probability,var_ordered_probability,var_amorphous_probability,amorphous_prediction_rate,T_BKT,L
1.214,100,100,0,0.088512,0.911488,0.040638,0.040638,0.06,0.9997680793923263,24
1.22,100,100,0,0.074692,0.925308,0.034422,0.034422,0.05,1.0057680793923263,24
1.226,100,100,0,0.067792,0.932208,0.032218,0.032218,0.05,1.0117680793923263,24
1.232,100,100,0,0.037501,0.962499,0.010289,0.010289,0.01,1.0177680793923263,24
1.238,100,100,0,0.045476,0.954524,0.0139,0.013901,0.02,1.0237680793923263,24
1.244,100,100,0,0.028372,0.971628,0.006689,0.006689,0.01,1.0297680793923263,24
1.25,100,100,0,0.042567,0.957433,0.017176,0.017176,0.03,1.0357680793923263,24
1.256,100,100,0,0.038745,0.961255,0.015197,0.015197,0.04,1.0417680793923263,24
1.262,100,100,0,0.029266,0.970734,0.01253,0.01253,0.03,1.0477680793923263,24
1.268,100,100,0,0.031281,0.968719,0.018346,0.018346,0.02,1.0537680793923263,24
1.274,100,100,0,0.026944,0.973056,0.015924,0.015924,0.02,1.0597680793923263,24
1.28,100,100,0,0.0101,0.9899,0.003725,0.003725,0.01,1.0657680793923263,24
1.286,100,100,0,0.007657,0.992343,0.00097,0.00097,0.0,1.0717680793923263,24
1.292,100,100,0,0.007533,0.992467,0.001063,0.001063,0.0,1.0777680793923263,24
1.298,100,100,0,0.023391,0.976609,0.010528,0.010528,0.02,1.0837680793923263,24
1.305,100,100,0,0.007302,0.992698,0.001735,0.001735,0.0,1.0907680793923262,24
1.311,100,100,0,0.009169,0.990831,0.003011,0.003011,0.01,1.0967680793923262,24
1.317,100,100,0,0.004018,0.995982,0.000353,0.000353,0.0,1.1027680793923262,24
1.323,100,100,0,0.004294,0.995706,0.000342,0.000342,0.0,1.1087680793923262,24
1.329,100,100,0,0.002713,0.997287,0.000174,0.000174,0.0,1.1147680793923262,24
1.335,100,100,0,0.002223,0.997777,0.000205,0.000205,0.0,1.1207680793923263,24
1.341,100,100,0,0.003336,0.996664,0.000216,0.000216,0.0,1.1267680793923263,24
1.347,100,100,0,0.000934,0.999066,1.4e-05,1.4e-05,0.0,1.1327680793923263,24
1.353,100,100,0,0.00072,0.99928,7e-06,7e-06,0.0,1.1387680793923263,24
1.359,100,100,0,0.001699,0.998301,7.4e-05,7.4e-05,0.0,1.1447680793923263,24
1.365,100,100,0,0.001191,0.99881,4.3e-05,4.3e-05,0.0,1.1507680793923263,24
1.371,100,100,0,0.001124,0.998876,1.3e-05,1.3e-05,0.0,1.1567680793923263,24
1.377,100,100,0,0.000779,0.999221,1.3e-05,1.3e-05,0.0,1.1627680793923263,24
1.383,100,100,0,0.000132,0.999868,0.0,0.0,0.0,1.1687680793923263,24
1.389,100,100,0,0.000405,0.999595,5e-06,5e-06,0.0,1.1747680793923263,24
1.395,100,100,0,0.000164,0.999836,0.0,0.0,0.0,1.1807680793923263,24
1.402,100,100,0,0.000795,0.999205,2.3e-05,2.3e-05,0.0,1.1877680793923262,24
1.408,100,100,0,0.000573,0.999428,6e-06,6e-06,0.0,1.1937680793923262,24
1.414,100,100,0,0.000326,0.999674,1e-06,1e-06,0.0,1.1997680793923262,24
1.42,100,100,0,0.000492,0.999508,8e-06,8e-06,0.0,1.2057680793923262,24
1.426,100,100,0,0.000193,0.999807,2e-06,2e-06,0.0,1.2117680793923262,24
1.432,100,100,0,0.000199,0.999801,1e-06,1e-06,0.0,1.2177680793923262,24
1.438,100,100,0,0.000231,0.999769,1e-06,1e-06,0.0,1.2237680793923262,24
1.444,100,100,0,5.9e-05,0.999941,0.0,0.0,0.0,1.2297680793923262,24
1.45,100,100,0,5.2e-05,0.999948,0.0,0.0,0.0,1.2357680793923262,24
