# # Temperature	Energy	Specific Heat	Magnetization	Susceptibility (Optimized)
0.100000	-0.974690	0.000487	0.975045	0.000221
0.422222	-0.887976	0.000566	0.889924	0.000895
0.744444	-0.785668	0.000704	0.786318	0.001826
1.066667	-0.623051	0.001418	0.557229	0.012915
1.388889	-0.431438	0.000795	0.210714	0.007732
1.711111	-0.330217	0.000459	0.137826	0.002857
2.033333	-0.268447	0.000305	0.111358	0.001602
2.355556	-0.226295	0.000210	0.096851	0.001090
2.677778	-0.197093	0.000161	0.089232	0.000802
3.000000	-0.173632	0.000124	0.083364	0.000633
