Temperature,Energy,Energy_Std,Specific_Heat,Specific_Heat_Std,Magnetization,Magnetization_Std,Susceptibility,Susceptibility_Std
1.162626,-0.580573,0.002912,0.329961,0.012819,0.607070,0.004765,1.071963,0.060799
1.169697,-0.575781,0.002493,0.330115,0.013407,0.600615,0.004101,1.099536,0.055951
1.176768,-0.570655,0.002468,0.329957,0.013643,0.593895,0.004165,1.123630,0.052142
1.183838,-0.566495,0.002443,0.328961,0.013312,0.588522,0.004344,1.131676,0.061864
1.190909,-0.561351,0.002682,0.331710,0.016041,0.580623,0.004501,1.175725,0.062971
1.197980,-0.556523,0.002842,0.326925,0.013781,0.573927,0.004601,1.189286,0.053682
1.205051,-0.552090,0.002373,0.326142,0.013688,0.568128,0.004146,1.204865,0.060929
1.212121,-0.547544,0.002713,0.327566,0.013354,0.561379,0.004739,1.232497,0.060855
1.219192,-0.542360,0.002671,0.325938,0.013002,0.553983,0.004134,1.260068,0.060248
1.226263,-0.537966,0.003066,0.323179,0.013471,0.547867,0.005407,1.258730,0.064651
1.233333,-0.533713,0.002772,0.321755,0.014036,0.541479,0.005291,1.280164,0.064611
1.240404,-0.529040,0.002791,0.317294,0.013988,0.535378,0.005005,1.282125,0.050345
1.247475,-0.524485,0.003271,0.316746,0.012920,0.528136,0.005097,1.299531,0.052703
1.254545,-0.519855,0.002631,0.313190,0.011375,0.522234,0.004711,1.300156,0.051038
1.261616,-0.516116,0.002681,0.308409,0.011913,0.516563,0.004797,1.303494,0.055512
1.268687,-0.511496,0.003219,0.307540,0.013181,0.509634,0.005683,1.318371,0.055457
1.275758,-0.507113,0.002397,0.304670,0.011739,0.503455,0.004834,1.320202,0.055913
1.282828,-0.502876,0.002616,0.300136,0.013072,0.497369,0.005047,1.322459,0.049236
1.289899,-0.498593,0.002744,0.298286,0.011535,0.491339,0.004778,1.328267,0.051873
1.296970,-0.494006,0.002869,0.294338,0.011296,0.484854,0.005663,1.330879,0.057618
1.304040,-0.490331,0.002650,0.289936,0.013418,0.479206,0.004652,1.337093,0.047468
1.311111,-0.485940,0.002858,0.286403,0.011934,0.472947,0.005349,1.316401,0.053030
1.318182,-0.481682,0.002500,0.283166,0.011443,0.467201,0.004977,1.327930,0.047631
1.325253,-0.477965,0.002655,0.277845,0.011892,0.462128,0.004586,1.299976,0.043662
1.332323,-0.474111,0.003072,0.273101,0.010780,0.456724,0.005364,1.295261,0.046660
1.339394,-0.470107,0.002773,0.272441,0.011799,0.450612,0.005789,1.294212,0.050825
1.346465,-0.466549,0.002834,0.266396,0.011195,0.446047,0.004758,1.277158,0.047819
1.353535,-0.463256,0.002633,0.263832,0.011693,0.440973,0.005816,1.281117,0.050192
1.360606,-0.458838,0.002610,0.259624,0.012485,0.434678,0.005378,1.273823,0.043782
1.367677,-0.455736,0.002518,0.253636,0.011028,0.429707,0.005262,1.254236,0.041631
1.374747,-0.451371,0.002453,0.249320,0.010386,0.423754,0.004736,1.244376,0.036624
1.381818,-0.448358,0.002908,0.246462,0.009095,0.420129,0.005214,1.231757,0.047379
1.388889,-0.444026,0.002557,0.243061,0.010953,0.413627,0.004648,1.222543,0.041908
1.395960,-0.441681,0.002571,0.239390,0.009993,0.410183,0.005014,1.214926,0.037567
1.403030,-0.438635,0.002866,0.233969,0.010135,0.406034,0.005545,1.195635,0.044768
1.410101,-0.434815,0.002619,0.231320,0.010685,0.400494,0.004777,1.189788,0.046686
1.417172,-0.431418,0.002851,0.227326,0.010086,0.396456,0.005046,1.172384,0.041060
1.424242,-0.427948,0.002903,0.224625,0.008570,0.391919,0.005101,1.156658,0.035969
1.431313,-0.425030,0.002685,0.222420,0.010600,0.387793,0.004779,1.149712,0.040837
1.438384,-0.422316,0.002443,0.218029,0.008756,0.384120,0.005180,1.127194,0.041006
1.445455,-0.419172,0.002826,0.213043,0.008486,0.379931,0.005636,1.116060,0.041878
1.452525,-0.416182,0.002546,0.208740,0.007831,0.375946,0.004747,1.099424,0.036848
1.459596,-0.413299,0.002799,0.206166,0.009689,0.372692,0.004939,1.087242,0.035874
1.466667,-0.410312,0.002583,0.203391,0.009147,0.368654,0.004816,1.070999,0.036861
1.473737,-0.407615,0.002738,0.198751,0.008951,0.364879,0.004740,1.057346,0.036412
1.480808,-0.404660,0.002617,0.196974,0.008565,0.361067,0.004374,1.043568,0.036275
1.487879,-0.402105,0.002655,0.194164,0.008853,0.357859,0.005105,1.031094,0.039089
1.494949,-0.398862,0.002558,0.190809,0.008386,0.353768,0.004987,1.015615,0.041446
1.502020,-0.396249,0.002469,0.186515,0.008827,0.350674,0.004768,0.995530,0.034496
1.509091,-0.394128,0.002356,0.184020,0.008212,0.347966,0.004806,0.983304,0.034656
1.516162,-0.391107,0.002781,0.181405,0.008394,0.344050,0.004494,0.971190,0.034051
1.523232,-0.388822,0.002794,0.178598,0.008340,0.341969,0.005021,0.954442,0.035952
1.530303,-0.386248,0.002741,0.176188,0.007184,0.337270,0.004472,0.942575,0.033491
1.537374,-0.383373,0.002435,0.174391,0.007828,0.334701,0.004855,0.931918,0.034137
1.544444,-0.380785,0.002603,0.170892,0.007184,0.330596,0.004678,0.919093,0.037127
1.551515,-0.378688,0.002258,0.169398,0.007780,0.329664,0.004359,0.902347,0.034471
1.558586,-0.376475,0.002423,0.165739,0.008097,0.326204,0.004301,0.888429,0.028816
1.565657,-0.374110,0.001921,0.162700,0.007844,0.323118,0.004603,0.878470,0.035544
1.572727,-0.371302,0.002879,0.161366,0.007208,0.320441,0.004883,0.863872,0.030332
1.579798,-0.369883,0.002466,0.158744,0.006606,0.318502,0.003762,0.850940,0.036527
1.586869,-0.367023,0.002690,0.156934,0.006536,0.315330,0.004648,0.843597,0.027300
1.593939,-0.364718,0.002476,0.154176,0.006925,0.312717,0.004395,0.825977,0.030697
1.601010,-0.362786,0.002656,0.150904,0.007406,0.310499,0.004350,0.813586,0.033326
1.608081,-0.361157,0.002555,0.151753,0.007704,0.308576,0.004560,0.807769,0.030266
1.615152,-0.358261,0.002161,0.148921,0.006386,0.305782,0.004291,0.792611,0.027017
1.622222,-0.356216,0.002449,0.145899,0.006497,0.303022,0.004431,0.778808,0.029527
1.629293,-0.354495,0.002513,0.144567,0.006185,0.301561,0.004337,0.773932,0.031722
1.636364,-0.352052,0.002281,0.143413,0.006265,0.299497,0.004224,0.760374,0.026506
1.643434,-0.350694,0.002310,0.140351,0.006383,0.296881,0.003919,0.752311,0.030098
1.650505,-0.347864,0.002576,0.138305,0.006011,0.294451,0.004956,0.739466,0.028355
1.657576,-0.346421,0.002600,0.136399,0.007108,0.293094,0.004720,0.733667,0.030261
1.664646,-0.344282,0.002333,0.134236,0.006431,0.290426,0.003632,0.721164,0.032586
1.671717,-0.342770,0.002449,0.134494,0.005766,0.288357,0.004926,0.710567,0.028249
1.678788,-0.341065,0.002319,0.131790,0.006197,0.287459,0.003977,0.701588,0.029437
1.685859,-0.338762,0.002329,0.129170,0.005721,0.284744,0.004012,0.692295,0.026648
1.692929,-0.337007,0.001951,0.128770,0.007060,0.283143,0.004224,0.680518,0.025700
1.700000,-0.335177,0.002564,0.126899,0.006222,0.281470,0.004296,0.672377,0.027711
