Temperature,Energy,Energy_Std,Specific_Heat,Specific_Heat_Std,Magnetization,Magnetization_Std,Susceptibility,Susceptibility_Std
1.000000,-0.679316,0.001765,0.267267,0.012563,0.728075,0.002341,0.472807,0.035545
1.007071,-0.675384,0.002099,0.270052,0.011592,0.723797,0.002998,0.495181,0.043665
1.014141,-0.672048,0.002291,0.273440,0.016118,0.720391,0.003111,0.506429,0.046480
1.021212,-0.668081,0.002138,0.275655,0.012058,0.715924,0.003030,0.528016,0.041022
1.028283,-0.664026,0.001876,0.282115,0.013577,0.711053,0.002742,0.562097,0.043966
1.035354,-0.660135,0.001936,0.285534,0.013175,0.706529,0.002584,0.583199,0.039618
1.042424,-0.656018,0.002106,0.288559,0.013193,0.702245,0.003232,0.602931,0.047128
1.049495,-0.651799,0.002295,0.293194,0.013616,0.697242,0.003349,0.628255,0.051804
1.056566,-0.647151,0.002242,0.296855,0.012879,0.691608,0.003134,0.662148,0.046942
1.063636,-0.643362,0.002130,0.299386,0.013688,0.686983,0.003346,0.689805,0.047908
1.070707,-0.639127,0.002084,0.301684,0.013890,0.682236,0.003388,0.701782,0.046679
1.077778,-0.634413,0.002265,0.307096,0.013692,0.676921,0.003589,0.738192,0.050118
1.084848,-0.630055,0.001984,0.311124,0.015170,0.670997,0.003135,0.771118,0.048218
1.091919,-0.625953,0.002506,0.311633,0.013712,0.666263,0.004116,0.788856,0.056434
1.098990,-0.621691,0.002177,0.311993,0.014461,0.661420,0.003868,0.806008,0.062297
1.106061,-0.616911,0.002461,0.318055,0.014972,0.655336,0.003779,0.850037,0.063652
1.113131,-0.612695,0.002264,0.319070,0.013996,0.649589,0.003611,0.868764,0.058673
1.120202,-0.607711,0.002415,0.322043,0.013264,0.643046,0.003850,0.913787,0.059633
1.127273,-0.603476,0.002331,0.321711,0.015911,0.637679,0.003837,0.931269,0.065826
1.134343,-0.598755,0.002894,0.326052,0.014384,0.631630,0.004063,0.963397,0.049024
1.141414,-0.594151,0.002461,0.326829,0.013366,0.625007,0.003828,1.000749,0.057658
1.148485,-0.589878,0.002146,0.328470,0.013868,0.619767,0.003935,1.019359,0.055979
1.155556,-0.584882,0.002662,0.327900,0.013198,0.612949,0.003971,1.048584,0.054466
