# # Temperature	Energy	Specific Heat	Magnetization	Susceptibility (Ultra Optimized)
0.100000	-1.000000	0.000000	1.000000	0.000000
0.422222	-1.000000	0.000000	1.000000	0.000000
0.744444	-0.999843	0.000002	0.999922	0.000000
1.066667	-0.995601	0.000027	0.997735	0.000008
1.388889	-0.971891	0.000113	0.984453	0.000054
1.711111	-0.903777	0.000280	0.938455	0.000260
2.033333	-0.739205	0.000680	0.769101	0.003038
2.355556	-0.494129	0.000517	0.341546	0.008921
2.677778	-0.389280	0.000258	0.199513	0.003639
3.000000	-0.327934	0.000176	0.150312	0.001967
