# # Temperature	Energy	Specific Heat	Magnetization	Susceptibility
0.100000	-0.974593	0.000028	0.963816	0.000194
0.139394	-0.964374	0.000030	0.950063	0.000275
0.178788	-0.954136	0.000031	0.933090	0.000412
0.218182	-0.943605	0.000028	0.919743	0.000446
0.257576	-0.933268	0.000038	0.905925	0.000481
0.296970	-0.922377	0.000033	0.890134	0.000590
0.336364	-0.911500	0.000035	0.874852	0.000640
0.375758	-0.900421	0.000034	0.858752	0.000687
0.415152	-0.889442	0.000033	0.844873	0.000821
0.454545	-0.877829	0.000039	0.828506	0.000905
0.493939	-0.866180	0.000039	0.811712	0.001043
0.533333	-0.854065	0.000037	0.795621	0.001064
0.572727	-0.842206	0.000037	0.781328	0.000991
0.612121	-0.829294	0.000041	0.762149	0.001259
0.651515	-0.816615	0.000040	0.746585	0.001323
0.690909	-0.803061	0.000041	0.727334	0.001339
0.730303	-0.789752	0.000042	0.710735	0.001235
0.769697	-0.774281	0.000049	0.684582	0.001593
0.809091	-0.759322	0.000055	0.665551	0.001571
0.848485	-0.742570	0.000057	0.639982	0.001808
0.887879	-0.723735	0.000058	0.606429	0.002614
0.927273	-0.703548	0.000070	0.563320	0.003772
0.966667	-0.679989	0.000085	0.491370	0.007131
1.006061	-0.652508	0.000081	0.369082	0.013112
1.045455	-0.624023	0.000081	0.251010	0.010323
1.084848	-0.595935	0.000086	0.172337	0.006278
1.124242	-0.568834	0.000077	0.129347	0.003700
1.163636	-0.543527	0.000072	0.103592	0.002536
1.203030	-0.519815	0.000073	0.088084	0.001794
1.242424	-0.497523	0.000069	0.072236	0.001202
1.281818	-0.477814	0.000063	0.066761	0.000900
1.321212	-0.459621	0.000057	0.060416	0.000760
1.360606	-0.441690	0.000052	0.055882	0.000611
1.400000	-0.425365	0.000046	0.051360	0.000507
1.439394	-0.409685	0.000041	0.047228	0.000409
1.478788	-0.395843	0.000042	0.044725	0.000350
1.518182	-0.383353	0.000038	0.042787	0.000329
1.557576	-0.371176	0.000036	0.040068	0.000272
1.596970	-0.358678	0.000033	0.038323	0.000245
1.636364	-0.348265	0.000033	0.036420	0.000228
1.675758	-0.338603	0.000031	0.035363	0.000199
1.715152	-0.328542	0.000031	0.033955	0.000182
1.754545	-0.319577	0.000026	0.033093	0.000177
1.793939	-0.311620	0.000027	0.032030	0.000165
1.833333	-0.303411	0.000025	0.030964	0.000145
1.872727	-0.296112	0.000022	0.030621	0.000135
1.912121	-0.288591	0.000022	0.029364	0.000126
1.951515	-0.281740	0.000021	0.027897	0.000110
1.990909	-0.274734	0.000020	0.028282	0.000114
2.030303	-0.268536	0.000019	0.028314	0.000109
2.069697	-0.262873	0.000017	0.027374	0.000098
2.109091	-0.257090	0.000017	0.026995	0.000093
2.148485	-0.251427	0.000017	0.026432	0.000086
2.187879	-0.246029	0.000016	0.025661	0.000080
2.227273	-0.241552	0.000015	0.025241	0.000079
2.266667	-0.236641	0.000015	0.024635	0.000074
2.306061	-0.232533	0.000013	0.024612	0.000069
2.345455	-0.227355	0.000014	0.024360	0.000068
2.384848	-0.223361	0.000012	0.024111	0.000064
2.424242	-0.219542	0.000012	0.024241	0.000066
2.463636	-0.215640	0.000012	0.023684	0.000060
2.503030	-0.212209	0.000011	0.023376	0.000062
2.542424	-0.208063	0.000011	0.023496	0.000057
2.581818	-0.204532	0.000011	0.022996	0.000055
2.621212	-0.201006	0.000010	0.022663	0.000051
2.660606	-0.197677	0.000010	0.022699	0.000052
2.700000	-0.194754	0.000009	0.022348	0.000050
2.739394	-0.191902	0.000009	0.021994	0.000048
2.778788	-0.188732	0.000009	0.021975	0.000048
2.818182	-0.185760	0.000008	0.022052	0.000045
2.857576	-0.183020	0.000008	0.021195	0.000042
2.896970	-0.180446	0.000008	0.021106	0.000042
2.936364	-0.177835	0.000007	0.021463	0.000042
2.975758	-0.175271	0.000008	0.020898	0.000040
3.015152	-0.172771	0.000008	0.021058	0.000039
3.054545	-0.170372	0.000007	0.021078	0.000041
3.093939	-0.168050	0.000007	0.020344	0.000038
3.133333	-0.165790	0.000007	0.020546	0.000038
3.172727	-0.163669	0.000007	0.020044	0.000036
3.212121	-0.161093	0.000007	0.020062	0.000033
3.251515	-0.159212	0.000006	0.019639	0.000033
3.290909	-0.157405	0.000006	0.020312	0.000035
3.330303	-0.155446	0.000006	0.019391	0.000032
3.369697	-0.153317	0.000006	0.019539	0.000032
3.409091	-0.151669	0.000006	0.019494	0.000031
3.448485	-0.149261	0.000006	0.019706	0.000031
3.487879	-0.148042	0.000006	0.019178	0.000029
3.527273	-0.145918	0.000006	0.019441	0.000029
3.566667	-0.144224	0.000005	0.019324	0.000030
3.606061	-0.142563	0.000005	0.019007	0.000027
3.645455	-0.141326	0.000005	0.018376	0.000025
3.684848	-0.139735	0.000005	0.019185	0.000028
3.724242	-0.138273	0.000005	0.018852	0.000028
3.763636	-0.136700	0.000004	0.018631	0.000027
3.803030	-0.134720	0.000004	0.018772	0.000025
3.842424	-0.133176	0.000005	0.018753	0.000024
3.881818	-0.132093	0.000004	0.018331	0.000025
3.921212	-0.130263	0.000004	0.018402	0.000022
3.960606	-0.128961	0.000004	0.018639	0.000024
4.000000	-0.127863	0.000004	0.018645	0.000024
