# # Temperature	Energy	Specific Heat	Magnetization	Susceptibility
0.100000	-0.974548	0.000500	0.974366	0.000219
0.366667	-0.903429	0.000596	0.903689	0.000879
0.633333	-0.824229	0.000652	0.825684	0.001453
0.900000	-0.720414	0.000967	0.712208	0.003470
1.166667	-0.548264	0.001397	0.394935	0.018142
1.433333	-0.412332	0.000758	0.190652	0.006204
1.700000	-0.333291	0.000471	0.137878	0.002889
1.966667	-0.279255	0.000328	0.115616	0.001816
2.233333	-0.240631	0.000242	0.101021	0.001257
2.500000	-0.212255	0.000193	0.093143	0.000942
