# 2D XY Model (32x32) Susceptibility Analysis
# Temperature	Avg_Magnetization	Magnetization_Std	Avg_Susceptibility(x10^-3)	Susceptibility_Std(x10^-3)
0.750000	755.727411	32.294527	21.218597	3.331018
0.760000	750.201190	39.465135	31.270417	3.662710
0.770000	746.577848	35.360746	24.778339	2.485889
0.781000	749.082044	38.819198	29.441650	2.805200
0.791000	741.039341	33.216261	21.283599	3.528151
0.801000	738.643116	33.647053	21.566597	3.862984
0.811000	726.875427	38.781463	28.297469	3.555241
0.821000	723.927116	37.751177	26.487312	3.189437
0.831000	719.030994	40.315285	29.844102	4.410806
0.842000	712.899962	39.044167	27.626147	2.435011
0.852000	699.598487	44.495494	35.457862	5.757070
0.862000	695.036862	46.180641	37.751371	3.875850
0.872000	698.850140	45.592612	36.374123	5.909229
0.882000	679.543254	45.512432	35.835343	3.781183
0.892000	691.145937	41.277022	29.145529	3.195008
0.903000	673.171060	50.042275	42.316175	6.043142
0.913000	667.201405	52.247310	45.622298	4.954763
0.923000	663.384890	50.971449	42.950906	7.187786
0.933000	642.450202	51.274519	42.997343	5.082804
0.943000	630.667764	64.896930	68.148560	11.507408
0.953000	618.931574	54.243298	47.110676	8.228789
0.964000	611.434981	55.832922	49.342795	5.235169
0.974000	593.317731	72.474620	82.287337	9.556744
0.984000	580.823747	82.396810	105.279975	17.874554
0.994000	576.017834	84.235884	108.925099	17.658599
1.004000	548.553022	107.675354	176.205301	21.743070
1.014000	534.577127	94.480136	134.326944	21.061811
1.025000	514.362785	113.364145	191.314391	33.745693
1.035000	502.328783	111.890536	184.572260	26.256778
1.045000	360.803286	139.842721	274.770420	24.946591
1.055000	443.164632	112.605742	183.395503	21.525137
1.065000	385.345001	130.336889	243.391363	24.336373
1.075000	374.709856	128.101704	232.927851	24.862106
1.086000	448.781324	117.225573	200.654317	27.518707
1.096000	326.114235	125.830182	220.434294	18.185191
1.106000	317.004682	140.232988	271.309699	26.243550
1.116000	308.984141	114.657334	179.746132	15.855795
1.126000	292.534967	103.397615	144.878093	14.389528
1.136000	284.014028	106.496123	152.338380	15.191496
1.147000	262.380437	122.668492	200.180931	16.751487
1.157000	212.406943	102.666657	139.009843	14.761618
1.167000	199.401685	103.199300	139.252408	14.250119
1.177000	222.400839	113.117816	165.884433	17.171956
1.187000	193.262896	102.763227	135.751556	13.183819
1.197000	200.039885	99.085133	125.153475	12.912491
1.208000	177.721290	82.834346	86.671044	9.466514
1.218000	145.411906	70.406955	62.101759	7.231983
1.228000	157.707264	92.231149	105.700475	13.009871
1.238000	158.147893	85.368631	89.824759	9.121442
1.248000	134.117379	85.365742	89.098977	11.240251
1.258000	151.712230	73.330143	65.223559	5.568959
1.269000	151.709120	82.671806	82.181355	7.782914
1.279000	140.143969	68.801174	56.473047	6.677975
1.289000	150.106227	70.989753	59.656599	5.977303
1.299000	138.058552	71.790405	60.540182	7.232276
1.309000	127.606158	61.701717	44.378736	5.425888
1.319000	133.567776	64.052224	47.461745	4.545908
1.330000	126.030925	68.527195	53.875876	6.754564
1.340000	123.879146	63.576209	46.026137	5.897717
1.350000	121.992080	61.197016	42.329856	3.754795

# Overall Average Susceptibility: 95.973355 x10^-3
# Overall Susceptibility Std Dev: 11.061604 x10^-3
