# 2D XY Model (16x16) Susceptibility Analysis
# Temperature	Avg_Magnetization	Magnetization_Std	Avg_Susceptibility(x10^-3)	Susceptibility_Std(x10^-3)
0.850000	190.119232	12.193133	2.668897	0.531825
0.860000	187.956563	12.137581	2.613882	0.381375
0.870000	188.038194	13.404140	3.151220	0.556091
0.881000	186.242722	13.994758	3.392149	0.454692
0.891000	183.978636	12.628352	2.731088	0.428671
0.901000	185.478059	12.826790	2.786322	0.337892
0.911000	180.358384	12.815288	2.750796	0.308637
0.921000	180.154141	14.429847	3.449720	0.482407
0.931000	177.470518	16.961334	4.715095	1.380754
0.942000	172.873961	17.485196	4.952337	0.632226
0.952000	172.674546	17.436409	4.873009	1.137761
0.962000	169.179469	17.656937	4.945107	0.730441
0.972000	171.894567	17.513733	4.815166	0.673201
0.982000	166.445621	18.664385	5.412974	0.814718
0.992000	166.469814	19.205827	5.673805	0.970375
1.003000	162.847471	23.724335	8.562631	1.961035
1.013000	162.366863	19.684091	5.836350	0.977918
1.023000	158.140250	27.465137	11.251436	2.614894
1.033000	152.581064	27.941555	11.532431	2.394844
1.043000	151.150349	28.892534	12.212569	2.056753
1.053000	146.619748	28.947981	12.143064	2.382286
1.064000	145.655498	30.430855	13.280266	2.261772
1.074000	143.264250	31.604919	14.191397	2.448667
1.084000	135.707667	30.897116	13.437754	2.017689
1.094000	134.016074	34.347314	16.454637	2.279103
1.104000	121.931036	35.818106	17.731939	2.162582
1.114000	127.578854	37.070115	18.822735	2.503222
1.125000	112.998192	38.837102	20.457907	2.240369
1.135000	115.198617	34.814251	16.294398	1.833986
1.145000	110.409142	37.659076	18.899656	2.060816
1.155000	106.795461	38.974375	20.067644	1.930110
1.165000	103.546684	37.620830	18.537488	1.952011
1.175000	100.564126	38.979329	19.731083	1.757247
1.186000	96.719242	36.890910	17.509515	1.671493
1.196000	93.880009	33.940499	14.696886	1.389941
1.206000	94.474487	37.186534	17.496217	1.740861
1.216000	88.591006	37.004602	17.182959	1.478997
1.226000	86.417308	35.612443	15.784583	1.339540
1.236000	80.561052	33.466088	13.826475	1.286143
1.247000	79.067457	31.167639	11.886703	1.041155
1.257000	74.176123	31.726387	12.218729	1.220728
1.267000	75.359164	30.938147	11.527418	1.067554
1.277000	68.338863	36.399213	15.831176	1.406953
1.287000	66.369223	31.592641	11.833505	1.218883
1.297000	67.765766	31.056336	11.346986	1.102018
1.308000	66.343660	29.900105	10.429363	1.043030
1.318000	61.177494	32.429753	12.175644	1.145501
1.328000	62.346403	29.600185	10.067250	1.006496
1.338000	64.071755	28.776318	9.443531	0.972551
1.348000	59.138825	30.289174	10.384965	1.068745
1.358000	60.298763	27.165451	8.291902	0.922646
1.369000	56.665720	27.209078	8.251716	0.782405
1.379000	55.875920	26.035283	7.500331	0.808808
1.389000	54.126853	26.568641	7.754548	0.742640
1.399000	54.432791	26.335107	7.564366	0.872334
1.409000	56.177896	27.954022	8.462481	0.720799
1.419000	50.817421	27.022279	7.852024	0.922600
1.430000	50.917909	24.695730	6.507704	0.750580
1.440000	49.059236	23.297453	5.751412	0.642711
1.450000	52.191576	25.979461	7.102518	0.694613

# Overall Average Susceptibility: 10.450964 x10^-3
# Overall Susceptibility Std Dev: 1.278618 x10^-3
