L_16,L_32,L_64,L_128,L_256
1.143938,1.041075,1.003252,0.974243,0.972363
1.141485,1.039462,1.004591,0.972998,0.969888
1.140109,1.038117,1.002918,0.974317,0.968359
1.140285,1.040316,1.005136,0.975160,0.971104
1.140560,1.038255,1.005194,0.974099,0.975345
1.144742,1.040430,1.006742,0.976378,0.969490
1.142559,1.037026,1.004311,0.976402,0.968517
1.147546,1.042561,1.007996,0.974797,0.974763
1.139896,1.031316,1.002365,0.974530,0.970776
1.137915,1.038728,1.003440,0.972610,0.966988
1.141664,1.039336,1.003005,0.965696,0.973374
1.142488,1.040531,1.008945,0.972740,0.975928
1.137165,1.040621,1.007729,0.973897,0.973280
1.137002,1.041684,1.001781,0.976471,0.970759
1.139731,1.040696,1.007088,0.972834,0.971586
1.136506,1.040052,1.003968,0.973231,0.976222
1.157180,1.032784,1.007603,0.974618,0.972743
1.142456,1.039950,1.007524,0.973896,0.972729
1.146656,1.038165,1.004444,0.975970,0.967813
1.140162,1.039949,1.001713,0.971514,0.973645
1.141259,1.037310,1.003995,0.977448,0.972828
1.141377,1.038845,1.004540,0.972934,0.973299
1.138447,1.040851,1.004607,0.976099,0.969917
1.137617,1.042544,1.004025,0.972944,0.971079
1.142697,1.038796,1.005598,0.968166,0.971254
1.143373,1.037685,1.005605,0.974545,0.968632
1.138772,1.032797,1.006897,0.973029,0.970771
1.123095,1.041268,1.005089,0.976566,0.972185
1.143755,1.036302,1.005138,0.969669,0.972812
1.143989,1.037106,1.001456,0.972005,0.970528
1.142687,1.035027,1.002666,0.971804,0.971425
1.136439,1.038832,1.006723,0.975601,0.971292
1.137132,1.040718,1.002311,0.975045,0.971798
1.140649,1.039804,1.005681,0.970122,0.973777
1.138465,1.023318,1.002885,0.975780,0.972496
1.134599,1.037568,1.008728,0.975619,0.972053
1.139397,1.037072,1.004463,0.971191,0.972430
1.136418,1.036000,1.002442,0.972384,0.972567
1.139973,1.040480,1.005901,0.978105,0.971359
1.143880,1.040020,1.005082,0.975261,0.969949
1.144950,1.042751,1.002469,0.971835,0.974021
1.141087,1.033632,1.004108,0.974321,0.974287
1.137443,1.040653,1.008481,0.974319,0.973795
1.140563,1.039385,1.001662,0.973721,0.976484
1.139520,1.038672,1.006465,0.973998,0.972216
1.140592,1.040150,0.999611,0.977001,0.975752
1.140770,1.033549,1.004083,0.974783,0.967721
1.139820,1.024887,1.004629,0.976712,0.976369
1.147288,1.039964,1.003246,0.973639,0.971181
1.139714,1.041387,1.004172,0.971607,0.960091
1.140809,1.039849,1.004638,0.971630,0.956417
1.144069,1.040581,1.003968,0.971161,0.973016
1.145961,1.037756,1.004467,0.976443,0.969015
1.141355,1.033574,1.005974,0.972487,0.969864
1.139969,1.039747,1.003914,0.972609,0.972953
1.144679,1.040272,1.006841,0.973741,0.973433
1.141247,1.040197,1.005102,0.972922,0.971510
1.142261,1.039164,1.009207,0.970365,0.974637
1.140145,1.036599,1.001415,0.971750,0.974285
1.141840,1.039121,1.010208,0.976200,0.972539
1.140132,1.036092,1.002995,0.975150,0.970013
1.143307,1.041366,1.005236,0.975614,0.971140
1.144432,1.040014,1.005823,0.973926,0.971029
1.140189,1.037070,1.006699,0.975520,0.969886
1.135479,1.038678,1.002554,0.972907,0.974927
1.146819,1.041672,1.002336,0.971251,0.972356
1.142000,1.037307,1.005125,0.972673,0.973524
1.145536,1.043005,1.007664,0.971996,0.959053
1.147559,1.038826,1.006263,0.974995,0.972485
1.145985,1.042661,1.003252,0.974190,0.973539
1.140488,1.038919,1.001549,0.977386,0.975771
1.141627,1.038536,1.005203,0.974748,0.973840
1.142491,1.041426,1.005256,0.970283,0.968843
1.141573,1.040647,1.003864,0.976028,0.969646
1.142630,1.039983,1.004894,0.970862,0.972220
1.142581,1.038835,1.007339,0.973485,0.961765
1.121034,1.040404,1.004023,0.977378,0.972883
1.148593,1.045168,1.003852,0.975615,0.971984
1.142348,1.040973,1.005515,0.975254,0.971146
1.138750,1.039980,1.003997,0.967291,0.977011
1.140185,1.041130,1.007249,0.973359,0.971083
1.142078,1.037404,1.003808,0.972315,0.971179
1.125208,1.038974,1.006826,0.967104,0.970987
1.140378,1.037152,1.003178,0.972454,0.971024
1.141517,1.041907,1.005289,0.974366,0.956367
1.130737,1.041571,1.006123,0.976166,0.972949
1.139117,1.039836,1.004034,0.973925,0.970832
1.142156,1.038973,1.004940,0.976874,0.970965
1.140297,1.030527,1.004654,0.978377,0.974352
1.139548,1.041305,1.006407,0.975919,0.975451
1.146753,1.041159,1.006343,0.975847,0.972350
1.139897,1.040203,1.003283,0.975264,0.967800
1.142380,1.040810,1.005518,0.974683,0.979106
1.148570,1.039172,1.001774,0.973630,0.973660
1.136731,1.039471,1.007415,0.967006,0.969825
1.143010,1.041719,1.003528,0.974309,0.971386
1.141240,1.032469,1.004109,0.974923,0.974421
